Country/Region,unit,2016,2017,2018,2019,2020,2021
Lesotho,tCO2e/ million $ GDP,326.06,301.93,290.91,314.04,0.798506,0.844609
Seychelles,tCO2e/ million $ GDP,386.59,368.75,355.13,363.31,0.63,0.66
Cape Verde,tCO2e/ million $ GDP,290.49,296.58,279.52,293.86,0.66,0.63
Antigua and Barbuda,tCO2e/ million $ GDP,348.95,341.42,317.45,305.83,0.531581,0.5447
Andorra,tCO2e/ million $ GDP,161.91,155.1,153.69,159.06,0.515923,0.530829
Djibouti,tCO2e/ million $ GDP,160.06,150.92,138.44,135.98,0.407028,0.431586
Samoa,tCO2e/ million $ GDP,503.24,496.9,488.42,471.87,0.37,0.37
Saint Lucia,tCO2e/ million $ GDP,192.99,193.18,185.38,183.75,0.416724,1.27526
Comoros,tCO2e/ million $ GDP,275.52,315.99,306.15,318.03,0.404158,0.43285
Sao Tome and Principe,tCO2e/ million $ GDP,998.01,932.89,857.26,843.91,0.37,0.37
Grenada,tCO2e/ million $ GDP,261.76,256.02,275.26,267.82,0.336358,0.350135
Saint Vincent and the Grenadines,tCO2e/ million $ GDP,314.01,266.16,285.98,281.38,0.239298,0.883731
Palau,tCO2e/ million $ GDP,835.4,897.65,881.28,917.94,0.22,0.21
Saint Kitts and Nevis,tCO2e/ million $ GDP,242.83,229.58,227.91,213.58,0.253501,0.266093
Vanuatu,tCO2e/ million $ GDP,232.17,192.6,229.79,225.09,0.266442,0.263625
Marshall Islands,tCO2e/ million $ GDP,871.42,841.92,807.8,749.6,0.17,0.18
Tonga,tCO2e/ million $ GDP,361.44,399.67,331.95,317.95,0.154307,0.164307
Dominica,tCO2e/ million $ GDP,293.24,291.58,273.58,251.62,0.123798,0.144477
Liechtenstein,tCO2e/ million $ GDP,23.98,23.98,21.26,23.09,0.15597,0.157015
Micronesia,tCO2e/ million $ GDP,417.34,383.36,347.74,340.06,0.135302,0.14773
Cook Islands,tCO2e/ million $ GDP,0,0,0,0,0.089813,0.089813
Kiribati,tCO2e/ million $ GDP,379.81,463.36,441.32,488.38,0.09,0.09
Nauru,tCO2e/ million $ GDP,633.75,615.4,516.04,540.75,0.060538,0.066076
Tuvalu,tCO2e/ million $ GDP,213.79,227.79,225.86,199.18,0,0
Niue,tCO2e/ million $ GDP,0,0,0,0,2.67E-17,5.60E-24
Bhutan,tCO2e/ million $ GDP,-179.48,-142.67,-108.91,-104.27,-0.28,-0.26
Fiji,tCO2e/ million $ GDP,-207.46,-165.96,-164.08,-165.75,-0.887045,-0.904987
Ghana,tCO2e/ million $ GDP,-157.73,-131.02,-92.87,-71.48,,
Data source,Climate Watch,,,,,,
Data for,Location: World. Sectors/Subsectors: Total including LUCF. Gases: CO2. Calculation: per GDP. Show data by Countries,,,,,,
